id,name,business,business_id,asset_identifier,asset_category_id,sub_category_id,available_stock,booking_mode,min_hrs,max_extension_hrs,km_limit,asset_km_per_block,journey_km_limit_allowed,deposit,cost_per_hr,cost_per_hr_incl_tax,cost_per_24_hrs_incl_tax,extension_price_per_hr,extension_price_per_hr_incl_tax,rental_total_incl_tax,total_journey_incl_tax,billed_hours,billed_input_hours,min_block_hours,billable_blocks,billable_extension_hours,normal_hours,extension_hours,rate_ex_tax,extension_rate_ex_tax,amount_ex_tax,base_amount_ex_tax,extension_amount_ex_tax,tax_percent,tax,total_incl_tax,image,business_logo
1,Alto K10 PETROL MT,AVS RENT A CAB,1,KL07DD8525,31,0,3,hourly_min,24,,120,120,3360,5000.0,42.37,50.0,1199.92,,50.0,33597.72,33597.72,672,672,24,1,0,672,0,42.37,0.0,28472.64,28472.64,0.0,18,5125.08,33597.72,https://master.therentos.com/uploads/1779123525_pngegg.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
3,Alto K10 PETROL AMT,AVS RENT A CAB,1,KL07DK0994,32,0,1,hourly_min,24,,120,120,3360,5000.0,45.91,54.17,1300.17,,54.17,36404.79,36404.79,672,672,24,1,0,672,0,45.91,0.0,30851.52,30851.52,0.0,18,5553.27,36404.79,https://master.therentos.com/uploads/1779901823_pngegg.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
4,Celerio Petrol MT,AVS RENT A CAB,1,KL07DF5532,25,0,2,hourly_min,24,,120,120,3360,5000.0,52.97,62.5,1500.11,,62.5,42003.09,42003.09,672,672,24,1,0,672,0,52.97,0.0,35595.84,35595.84,0.0,18,6407.25,42003.09,https://master.therentos.com/uploads/1774789855_Celerio.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
6,Celerio Petrol AMT,AVS RENT A CAB,1,KL07DF5506,35,0,3,hourly_min,24,,120,120,3360,5000.0,56.5,66.67,1600.08,,66.67,44802.24,44802.24,672,672,24,1,0,672,0,56.5,0.0,37968.0,37968.0,0.0,18,6834.24,44802.24,https://master.therentos.com/uploads/1779902788_1774789855_Celerio.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
9,Swift Petrol MT,AVS RENT A CAB,1,KL07DF5564,21,0,1,hourly_min,24,,120,120,3360,5000.0,60.03,70.84,1700.05,,70.84,47601.39,47601.39,672,672,24,1,0,672,0,60.03,0.0,40340.16,40340.16,0.0,18,7261.23,47601.39,https://master.therentos.com/uploads/1774789906_Swift.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
10,Swift Petrol MT,AVS RENT A CAB,1,KL07DF5426,21,0,1,hourly_min,24,,120,120,3360,5000.0,60.03,70.84,1700.05,,70.84,47601.39,47601.39,672,672,24,1,0,672,0,60.03,0.0,40340.16,40340.16,0.0,18,7261.23,47601.39,https://master.therentos.com/uploads/1774789906_Swift.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
11,Baleno Petrol MT,AVS RENT A CAB,1,KL07DF5542,24,0,1,hourly_min,24,,120,120,3360,5000.0,70.62,83.33,1999.96,,83.33,55998.84,55998.84,672,672,24,1,0,672,0,70.62,0.0,47456.64,47456.64,0.0,18,8542.2,55998.84,https://master.therentos.com/uploads/1774789867_Baleno.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
12,Baleno Petrol MT,AVS RENT A CAB,1,KL07DF5536,24,0,2,hourly_min,24,,120,120,3360,5000.0,70.62,83.33,1999.96,,83.33,55998.84,55998.84,672,672,24,1,0,672,0,70.62,0.0,47456.64,47456.64,0.0,18,8542.2,55998.84,https://master.therentos.com/uploads/1774789867_Baleno.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
14,Swift Petrol AMT,AVS RENT A CAB,1,KL07DF5428,36,0,2,hourly_min,24,,120,120,3360,5000.0,67.09,79.17,1899.99,,79.17,53199.69,53199.69,672,672,24,1,0,672,0,67.09,0.0,45084.48,45084.48,0.0,18,8115.21,53199.69,https://master.therentos.com/uploads/1779905988_1774789906_Swift.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
16,Swift Petrol AMT,AVS RENT A CAB,1,KL07DD9113,36,0,2,hourly_min,24,,120,120,3360,5000.0,67.09,79.17,1899.99,,79.17,53199.69,53199.69,672,672,24,1,0,672,0,67.09,0.0,45084.48,45084.48,0.0,18,8115.21,53199.69,https://master.therentos.com/uploads/1779905988_1774789906_Swift.png,https://avs.therentos.com/uploads/logos/3s9bSkpN55bYgYbLt038cOvojWVqHIrMmZ97Rxax.jpg
